id,name,university_id,lat,lng,categories,status,owner_name,whatsapp,signed_date,weekly_orders,notes,last_visit
w001,Kios Pak Slamet,ui,-6.35879,106.82731,炒饭 Nasi Goreng,active,,,,50,,
w002,Kedai Cempaka,ui,-6.36298,106.83003,Nasi Padang,negotiating,,,,,,
w003,Toko Kelontong Bu Tini,ui,-6.359,106.82799,"炸物 Gorengan, Indomie 煮面",contacted,,,,,,
w004,Depot Bu Marwati,ui,-6.36114,106.82417,烤串 Sate,target,,,,,,
w005,Depot Pak Haji,ui,-6.36514,106.82708,"Indomie 煮面, 烤串 Sate",target,,,,,,
w006,Kios Bang Rizal,ui,-6.35896,106.82908,烤串 Sate,contacted,,,,,,
w007,Depot Cahaya,ui,-6.35975,106.8247,"Indomie 煮面, Warteg 家常菜",target,,,,,,
w008,Depot Barokah,ui,-6.363,106.83094,"炒饭 Nasi Goreng, 粥品",signed,,,,21,,
w009,Warteg Bu Rukiyah Cabang,ui,-6.36577,106.82304,"炸物 Gorengan, 椰浆饭 Nasi Uduk, 零食",target,,,,,,
w010,Toko Kelontong Teratai,ui,-6.36498,106.82591,炸物 Gorengan,target,,,,,,
w011,Warteg Bu Marwati,ui,-6.35911,106.82886,"Nasi Padang, 果汁 Jus",target,,,,,,
w012,Depot Mbak Nia,ui,-6.36478,106.8299,"Nasi Padang, 零食, 冰茶",target,,,,,,
w013,Kios Bu Lestari Cabang,ui,-6.3617,106.82496,"Nasi Padang, 冰茶",target,,,,,,
w014,Kedai Bu Endang,ui,-6.36325,106.82183,"烤串 Sate, 炒饭 Nasi Goreng, 零食",target,,,,,,
w015,Depot Bahagia Cabang,ui,-6.36673,106.82806,"炒饭 Nasi Goreng, Indomie 煮面, 炸物 Gorengan",negotiating,,,,,,
w016,Warung Kopi Bu Tini,ui,-6.36194,106.82603,"零食, 粥品, Nasi Padang",target,,,,,,
w017,Toko Kelontong Bahagia,ui,-6.36559,106.82912,"零食, 冰茶",contacted,,,,,,
w018,Kedai Kamboja,ui,-6.36051,106.82413,"零食, Nasi Padang",target,,,,,,
w019,Angkringan Bu Yuni,ui,-6.36001,106.82672,粥品,negotiating,,,,,,
w020,Warung Bu Ani,ui,-6.36524,106.82235,Nasi Padang,contacted,,,,,,
w021,Warung Bu Painem,ui,-6.36198,106.8283,"粥品, 咖啡",contacted,,,,,,
w022,Depot Pak Teguh,ui,-6.3598,106.82923,"冰茶, 咖啡",target,,,,,,
w023,Kedai Bang Jago,ui,-6.3634,106.82282,烤串 Sate,target,,,,,,
w024,Depot Bang Rizal,ui,-6.3661,106.82607,果汁 Jus,contacted,,,,,,
w025,Angkringan Bu Dewi,ui,-6.36274,106.82856,炒饭 Nasi Goreng,contacted,,,,,,
w026,Kios Bu Dewi,ui,-6.36293,106.82449,"零食, 烤串 Sate, 咖啡",target,,,,,,
w027,Warkop Bu Lestari,ui,-6.3627,106.82451,"粥品, 炸物 Gorengan",target,,,,,,
w028,Warung Kopi Bu Yati Cabang,ui,-6.36043,106.82301,"咖啡, Warteg 家常菜",signed,,,,49,,
w029,Warung Bu Rukiyah,gunadarma,-6.36176,106.84557,"炸物 Gorengan, 烤串 Sate, 果汁 Jus",target,,,,,,
w030,Angkringan Bu Wulan,gunadarma,-6.35322,106.83999,炒饭 Nasi Goreng,target,,,,,,
w031,Warteg Bu Dewi,gunadarma,-6.35325,106.84303,"Indomie 煮面, 冰茶, 烤串 Sate",target,,,,,,
w032,Warung Bu Wahyu,gunadarma,-6.35415,106.84365,"Nasi Padang, 粥品",target,,,,,,
w033,Kedai Mbak Sinta Cabang,gunadarma,-6.35717,106.84584,零食,target,,,,,,
w034,Warung Pak Eko,gunadarma,-6.36033,106.84373,"椰浆饭 Nasi Uduk, Warteg 家常菜",target,,,,,,
w035,Warkop Pak Agus,gunadarma,-6.35497,106.84384,"零食, 果汁 Jus, 椰浆饭 Nasi Uduk",target,,,,,,
w036,Warteg Mbak Rina,gunadarma,-6.36015,106.84289,"零食, 椰浆饭 Nasi Uduk, Indomie 煮面",target,,,,,,
w037,Warung Kopi Bu Lasmi II,gunadarma,-6.3602,106.84302,"果汁 Jus, 粥品",target,,,,,,
w038,Kios Makmur Cabang,gunadarma,-6.35489,106.83947,"炒饭 Nasi Goreng, Nasi Padang",target,,,,,,
w039,Kedai Bang Rizal,gunadarma,-6.35766,106.84605,"Indomie 煮面, 椰浆饭 Nasi Uduk, 零食",target,,,,,,
w040,Warung Kopi Bu Tini Cabang,gunadarma,-6.35398,106.84496,"Warteg 家常菜, Indomie 煮面",target,,,,,,
w041,Warung Pak Herman,gunadarma,-6.35996,106.84203,"粥品, 果汁 Jus",contacted,,,,,,
w042,Kios Bang Ilham,gunadarma,-6.36119,106.84055,"粥品, 咖啡",target,,,,,,
w043,Depot Pak Bambang,gunadarma,-6.35732,106.8409,"Warteg 家常菜, Nasi Padang",target,,,,,,
w044,Kedai Pak Teguh,gunadarma,-6.3558,106.83775,"粥品, 零食",target,,,,,,
w045,Warteg Kamboja,gunadarma,-6.35619,106.84439,"椰浆饭 Nasi Uduk, 零食",target,,,,,,
w046,Toko Kelontong Bu Ratna,gunadarma,-6.35706,106.84093,"零食, 炒饭 Nasi Goreng, 炸物 Gorengan",target,,,,,,
w047,Depot Bu Ratna,gunadarma,-6.35857,106.84193,"冰茶, 咖啡, 果汁 Jus",target,,,,,,
w048,Warkop Berkah,gunadarma,-6.35833,106.84042,"炒饭 Nasi Goreng, 冰茶, 零食",target,,,,,,
w049,Warteg Bang Fajar,gunadarma,-6.36223,106.847,零食,negotiating,,,,,,
w050,Angkringan Pak Haji,gunadarma,-6.36063,106.84192,"咖啡, 椰浆饭 Nasi Uduk",negotiating,,,,,,
w051,Kedai Melati,gunadarma,-6.35615,106.83947,"果汁 Jus, Nasi Padang",target,,,,,,
w052,Toko Kelontong Sederhana II,gunadarma,-6.35893,106.84493,Warteg 家常菜,target,,,,,,
w053,Kios Pak Agus,gunadarma,-6.3614,106.84263,"Warteg 家常菜, 果汁 Jus, 粥品",target,,,,,,
w054,Warteg Pak Darmawan Cabang,gunadarma,-6.3608,106.84653,"Indomie 煮面, 冰茶",target,,,,,,
w055,Depot Bu Ani II,pnj,-6.37097,106.82027,"粥品, 炒饭 Nasi Goreng, 咖啡",target,,,,,,
w056,Warung Kopi Bu Dewi,pnj,-6.36975,106.82385,炒饭 Nasi Goreng,target,,,,,,
w057,Warteg Bu Sari,pnj,-6.37437,106.82133,"炸物 Gorengan, 椰浆饭 Nasi Uduk, Indomie 煮面",target,,,,,,
w058,Depot Teratai,pnj,-6.37352,106.82344,"烤串 Sate, 炒饭 Nasi Goreng",target,,,,,,
w059,Warteg Pak Bambang II,pnj,-6.3712,106.82702,Warteg 家常菜,target,,,,,,
w060,Warteg Anggrek,pnj,-6.37323,106.82317,"咖啡, 炒饭 Nasi Goreng",target,,,,,,
w061,Kedai Bu Tini,pnj,-6.37473,106.8276,"烤串 Sate, Nasi Padang",target,,,,,,
w062,Warkop Pak Bambang,pnj,-6.3677,106.82354,"Indomie 煮面, 炸物 Gorengan",target,,,,,,
w063,Warkop Pak Slamet,pnj,-6.37314,106.82161,"炸物 Gorengan, 果汁 Jus",target,,,,,,
w064,Depot Harapan,pnj,-6.37446,106.82022,"冰茶, Warteg 家常菜",target,,,,,,
w065,Warkop Pak Teguh,pnj,-6.37391,106.82645,炸物 Gorengan,target,,,,,,
w066,Angkringan Pak Teguh,pnj,-6.37147,106.82276,果汁 Jus,target,,,,,,
w067,Depot Bu Yati,pnj,-6.37223,106.82421,"Indomie 煮面, 椰浆饭 Nasi Uduk",target,,,,,,
w068,Warung Bang Jago,pnj,-6.37289,106.81969,冰茶,target,,,,,,
w069,Kedai Pak Slamet,pnj,-6.37114,106.82401,"烤串 Sate, 椰浆饭 Nasi Uduk",target,,,,,,
w070,Kedai Pak Joko,pnj,-6.36957,106.82605,零食,negotiating,,,,,,
w071,Depot Bang Fajar,pnj,-6.36779,106.82062,"Nasi Padang, 零食",target,,,,,,
w072,Depot Bu Ani,pnj,-6.37164,106.82729,粥品,target,,,,,,
w073,Kios Bang Ilham II,pnj,-6.37228,106.82171,"炸物 Gorengan, 零食",negotiating,,,,,,
w074,Warung Kopi Bang Jago,pnj,-6.37505,106.82318,"椰浆饭 Nasi Uduk, 炸物 Gorengan, 粥品",target,,,,,,
w075,Kios Pak Bambang,pnj,-6.37018,106.8255,"Nasi Padang, 果汁 Jus",target,,,,,,
w076,Angkringan Bahagia,pnj,-6.36794,106.82361,"果汁 Jus, 冰茶, 粥品",contacted,,,,,,
w077,Warung Bang Udin,pnj,-6.37347,106.82665,"椰浆饭 Nasi Uduk, Indomie 煮面",target,,,,,,
w078,Angkringan Cahaya,pnj,-6.37487,106.82519,Nasi Padang,target,,,,,,
w079,Toko Kelontong Pak Darmawan,unj,-6.19595,106.88334,Indomie 煮面,target,,,,,,
w080,Kedai Mawar,unj,-6.19115,106.87742,"炒饭 Nasi Goreng, 粥品, 炸物 Gorengan",target,,,,,,
w081,Warteg Seroja,unj,-6.19367,106.88418,"果汁 Jus, 烤串 Sate, 粥品",contacted,,,,,,
w082,Warung Kopi Sentosa,unj,-6.19404,106.88137,"冰茶, Warteg 家常菜, 椰浆饭 Nasi Uduk",target,,,,,,
w083,Warung Kopi Flamboyan,unj,-6.19533,106.87794,"炸物 Gorengan, 炒饭 Nasi Goreng, 粥品",target,,,,,,
w084,Warkop Kamboja,unj,-6.1914,106.88475,"Warteg 家常菜, 炒饭 Nasi Goreng, Indomie 煮面",contacted,,,,,,
w085,Warkop Bang Rizal,unj,-6.19229,106.87777,"烤串 Sate, 炒饭 Nasi Goreng",target,,,,,,
